CompanyName,GenericName,Qty,Year,Month,num_in_pack,QtyAdadi
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,2288.0,1398,08,30,68640.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,6794.0,1399,10,30,203820.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,24753.0,1401,01,30,742590.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,23943.0,1401,06,30,718290.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,35351.0,1401,08,30,1060530.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,112.0,1398,01,30,3360.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,13719.0,1400,01,30,411570.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,23215.0,1400,04,30,696450.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,22186.0,1401,05,30,665580.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,43845.0,1402,07,30,1315350.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,399.0,1398,03,30,11970.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,1798.0,1398,06,30,53940.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,5802.0,1398,11,30,174060.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,5956.0,1399,03,30,178680.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,7094.0,1399,04,30,212820.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,7419.0,1399,11,30,222570.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,12509.0,1399,12,30,375270.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,34965.0,1400,12,30,1048950.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,82477.0,1401,12,30,2474310.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,48797.0,1402,02,30,1463910.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,2517.0,1399,01,30,75510.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,8858.0,1399,07,30,265740.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,12776.0,1399,09,30,383280.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,18582.0,1400,02,30,557460.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,30477.0,1401,02,30,914310.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,46283.0,1401,11,30,1388490.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,25051.0,1402,01,30,751530.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,48251.0,1402,04,30,1447530.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,1.0,1397,12,30,30.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,434.0,1398,02,30,13020.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,8553.0,1399,08,30,256590.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,42215.0,1400,05,30,1266450.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,37677.0,1400,08,30,1130310.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,17727.0,1400,10,30,531810.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,22599.0,1400,11,30,677970.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,30786.0,1401,03,30,923580.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,82983.0,1401,04,30,2489490.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,31854.0,1401,09,30,955620.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,41449.0,1401,10,30,1243470.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,591.0,1398,04,30,17730.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,2157.0,1398,07,30,64710.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,3270.0,1398,09,30,98100.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,3268.0,1398,12,30,98040.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,6164.0,1399,02,30,184920.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,4980.0,1399,05,30,149400.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,46317.0,1400,06,30,1389510.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,38091.0,1402,05,30,1142730.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,41699.0,1402,06,30,1250970.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,1037.0,1398,05,30,31110.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,2969.0,1398,10,30,89070.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,6486.0,1399,06,30,194580.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,23005.0,1400,03,30,690150.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,41520.0,1400,07,30,1245600.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,22512.0,1400,09,30,675360.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,28251.0,1401,07,30,847530.0
آرنا حیات دانش,APIXABAN TABLET ORAL 2.5 mg,43985.0,1402,03,30,1319550.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,332.0,1398,02,30,9960.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,989.0,1398,06,30,29670.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,2202.0,1398,11,30,66060.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,2070.0,1398,12,30,62100.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,4233.0,1399,02,30,126990.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,10361.0,1400,01,30,310830.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,29434.0,1400,06,30,883020.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,22106.0,1401,06,30,663180.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,40086.0,1402,02,30,1202580.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,1984.0,1399,01,30,59520.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,4934.0,1399,06,30,148020.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,9359.0,1399,07,30,280770.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,30222.0,1400,12,30,906660.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,359.0,1398,03,30,10770.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,2186.0,1398,10,30,65580.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,6315.0,1399,04,30,189450.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,6532.0,1399,10,30,195960.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,18476.0,1400,03,30,554280.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,20169.0,1400,10,30,605070.0
آرنا حیات دانش,APIXABAN TABLET ORAL 5 mg,30880.0,1401,09,30,926400.0
